,ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0046328,BP,GO:0046328,regulation of JNK cascade,17/2567,41/6969,0.321156906,1,0.977374986,APP/CD27/F2RL1/GADD45G/GPS2/IGF1R/MAP4K2/MBIP/MDFIC/PAFAH1B1/PJA2/RASSF2/TAOK1/TRAF5/TRAF6/TRPV4/ZMYND11,17
GO:0006289,BP,GO:0006289,nucleotide-excision repair,10/2567,23/6969,0.323042666,1,0.977374986,DDB2/ERCC3/ERCC8/GTF2H1/GTF2H3/LIG4/MNAT1/RAD23B/TP53/XPA,10
GO:0006446,BP,GO:0006446,regulation of translational initiation,10/2567,23/6969,0.323042666,1,0.977374986,CTIF/DDX3X/DHX29/EIF2S1/EIF4EBP2/MTOR/NCBP2/PAIP1/PAIP2B/RPS6KB1,10
GO:0014855,BP,GO:0014855,striated muscle cell proliferation,10/2567,23/6969,0.323042666,1,0.977374986,BMPR1A/CAV2/FGF9/FGFR2/GATA6/MAPK14/MYOG/PAXBP1/PRKAR1A/RBPJ,10
GO:0030038,BP,GO:0030038,contractile actin filament bundle assembly,10/2567,23/6969,0.323042666,1,0.977374986,ALMS1/CARMIL1/MET/MTOR/NRP1/PIK3R1/RHPN1/TACSTD2/TGFB3/WNT11,10
GO:0032231,BP,GO:0032231,regulation of actin filament bundle assembly,10/2567,23/6969,0.323042666,1,0.977374986,ALMS1/CARMIL1/MET/MTOR/NRP1/PIK3R1/RHPN1/TACSTD2/TGFB3/WNT11,10
GO:0043149,BP,GO:0043149,stress fiber assembly,10/2567,23/6969,0.323042666,1,0.977374986,ALMS1/CARMIL1/MET/MTOR/NRP1/PIK3R1/RHPN1/TACSTD2/TGFB3/WNT11,10
GO:0045669,BP,GO:0045669,positive regulation of osteoblast differentiation,10/2567,23/6969,0.323042666,1,0.977374986,BMP4/BMPR1A/BMPR2/CEBPA/DNAI3/GDPD2/LRP3/LTF/TENT5A/ZHX3,10
GO:0071715,BP,GO:0071715,icosanoid transport,10/2567,23/6969,0.323042666,1,0.977374986,ANXA1/PLA2G3/PLA2G5/PROCA1/SLC22A2/SLC22A6/SLC22A7/SLCO3A1/TP53/TRPV4,10
GO:1901565,BP,GO:1901565,organonitrogen compound catabolic process,158/2567,416/6969,0.326145218,1,0.977374986,AASS/ABHD13/ABHD17B/ACAT1/ADA2/ADAL/ADAM10/ADRA2A/AGTPBP1/AKIRIN2/ALDH5A1/ALDH6A1/AMER1/AMT/ANAPC10/ANAPC5/ANPEP/APOE/ATE1/BNIP3L/CACUL1/CALR3/CBL/CCNF/CDC20/CDKN1B/CDO1/CHMP2B/CLGN/CTSK/CUL4A/CUL4B/CUL5/DAO/DDO/DERA/DNAJB9/DPEP1/DTX4/ENPEP/ENPP2/ERLEC1/EXT1/FBXL3/FBXL4/FBXL5/FBXO33/FBXO9/FEM1B/FOXRED2/FTCD/GCAT/GLS2/GLUD1/HDAC6/HDC/HEXB/HGD/HMMR/HNMT/HPRT1/HSP90B1/IDE/IL10/IVD/KCTD6/KLHDC2/KLHL15/KLHL20/KLHL42/KLK4/KMO/KYAT3/LAMP2/LPCAT1/LTN1/MAD2L1/MARCHF7/MIB1/N4BP1/NDFIP2/NEMF/NEU2/NFE2L2/NPL/NRDC/NUDT7/OGT/OTUD7B/PCYOX1/PDE4D/PGLYRP1/PGLYRP4/PGLYRP4/PJA2/PLA2G5/PLAA/PSMA3/PSMC6/PSMD1/PSMD14/RAD23B/RBBP6/RHBDD3/RIC1/RIDA/RLIM/RMND5B/RNF103/RNF11/RNF115/RNF128/RNF139/RNF14/RNF144B/RNF19A/RNF20/RNF26/RNF7/RNFT2/SARDH/SIAH1/SMPD3/SOCS4/SOCS5/SOCS6/SPOPL/STT3B/STYX/TAF9/TET1/TMEM168/TOPORS/TPP1/UBE2D3/UBE3A/UCHL3/UCHL5/UOX/UROC1/USP15/USP16/USP2/USP21/USP37/USP4/USP43/USP44/USP45/USP7/VPS36/VPS4B/WAC/WNT1/WWP1/YOD1/ZFAND2B/ZRANB1,158
GO:0008654,BP,GO:0008654,phospholipid biosynthetic process,33/2567,83/6969,0.326790827,1,0.977374986,AGPAT1/BECN1/BPNT2/CHPT1/CRLS1/DPM1/FITM1/GPAM/HEXB/HMGCS1/HTR2B/HYCC1/IMPA1/INPP1/LPCAT1/MPPE1/NUS1/ORMDL1/PI4KA/PIGH/PIGK/PIGP/PIGV/PIK3C3/PIP4K2A/PLD1/SGMS1/SLC27A1/SOCS4/SOCS5/SOCS6/TMEM150A/TMEM38B,33
GO:0032409,BP,GO:0032409,regulation of transporter activity,25/2567,62/6969,0.326904576,1,0.977374986,ACTB/ADRA2A/AHCYL1/CACNB1/CACNG7/CALM2/CALM3/EPO/FXYD3/GOPC/HRC/KCNE3/KCNG1/KLHL24/NDFIP2/NHERF1/PDZK1/PKD2/RANGRF/SCN3B/SLC5A3/SUMO1/SYNGR3/TMEM168/TRPV4,25
GO:0021872,BP,GO:0021872,forebrain generation of neurons,8/2567,18/6969,0.329335087,1,0.977374986,DCT/DCX/DLX2/INHBA/METTL14/NR2E1/NRP1/SEMA3E,8
GO:0032720,BP,GO:0032720,negative regulation of tumor necrosis factor production,8/2567,18/6969,0.329335087,1,0.977374986,C5AR2/CIDEA/GHRL/GHSR/HAVCR2/IL10/NLRC3/PTPN6,8
GO:0042403,BP,GO:0042403,thyroid hormone metabolic process,8/2567,18/6969,0.329335087,1,0.977374986,CTSK/DIO1/DUOX2/DUOXA2/GATA3/IYD/MED1/SULT2A1,8
GO:0043124,BP,GO:0043124,negative regulation of canonical NF-kappaB signal transduction,8/2567,18/6969,0.329335087,1,0.977374986,NLRC3/NLRX1/OPTN/OTUD7B/SLC39A8/STAT1/TRIM59/ZMYND11,8
GO:0043489,BP,GO:0043489,RNA stabilization,8/2567,18/6969,0.329335087,1,0.977374986,ANGEL2/CSDE1/DND1/PAIP1/PHAX/TENT5A/TENT5C/TRAF5,8
GO:0051588,BP,GO:0051588,regulation of neurotransmitter transport,8/2567,18/6969,0.329335087,1,0.977374986,DTNBP1/FLOT1/GPM6B/RAB5A/RAP1A/SNAPIN/SNCG/SYN1,8
GO:1990573,BP,GO:1990573,potassium ion import across plasma membrane,8/2567,18/6969,0.329335087,1,0.977374986,ATP1A1/ATP1A2/ATP4B/KCNJ13/KCNJ2/KCNJ4/SLC12A2/SLC12A9,8
GO:0000082,BP,GO:0000082,G1/S transition of mitotic cell cycle,20/2567,49/6969,0.329525825,1,0.977374986,ANXA1/APPL1/CCNH/CDKN1B/CDKN2C/CDKN2D/DDX3X/ID2/INHBA/INO80/MNAT1/PHF8/PIM2/PKD2/PTPN6/RPS6/RPS6KB1/STOX1/TM4SF5/WAC,20
GO:0034599,BP,GO:0034599,cellular response to oxidative stress,20/2567,49/6969,0.329525825,1,0.977374986,ANXA1/EIF2S1/HDAC6/MAPK9/MET/MGST1/NCOA7/NFE2L2/NR4A2/OXR1/PDCD10/PEX2/PLEKHA1/PRDX3/PRKAA2/PRKRA/RHOB/SLC1A1/STX2/VRK2,20
GO:0007272,BP,GO:0007272,ensheathment of neurons,15/2567,36/6969,0.329609861,1,0.977374986,B4GALT6/GAL3ST1/GPM6B/HEXB/MAL2/MPZ/MTMR2/MTOR/NCSTN/ORMDL1/PALS1/PLLP/POU3F2/SOX10/ZNF24,15
GO:0008037,BP,GO:0008037,cell recognition,15/2567,36/6969,0.329609861,1,0.977374986,APP/CCT2/CLGN/COLEC11/EFNB3/EPHB3/EXT1/FCGR1A/HAVCR2/HSPA1L/NEDD9/NRP1/ZAN/ZP2/ZP3,15
GO:0008366,BP,GO:0008366,axon ensheathment,15/2567,36/6969,0.329609861,1,0.977374986,B4GALT6/GAL3ST1/GPM6B/HEXB/MAL2/MPZ/MTMR2/MTOR/NCSTN/ORMDL1/PALS1/PLLP/POU3F2/SOX10/ZNF24,15
GO:0051650,BP,GO:0051650,establishment of vesicle localization,15/2567,36/6969,0.329609861,1,0.977374986,AP1AR/BICDL2/BLOC1S6/DTNBP1/MAP4K2/MYO5C/MYO6/PAFAH1B1/RAB11A/RAB1A/RAB27A/SAR1B/SNAPIN/TMED10/VPS4B,15
GO:0000959,BP,GO:0000959,mitochondrial RNA metabolic process,6/2567,13/6969,0.334065131,1,0.977374986,FASTKD2/MTERF3/TEFM/TFAM/TRIT1/TRMT10C,6
GO:0001736,BP,GO:0001736,establishment of planar polarity,6/2567,13/6969,0.334065131,1,0.977374986,DLG3/FZD3/MLLT3/NPHP1/PAFAH1B1/WNT11,6
GO:0007031,BP,GO:0007031,peroxisome organization,6/2567,13/6969,0.334065131,1,0.977374986,PEX11A/PEX2/PEX26/PEX3/PEX6/ZFAND6,6
GO:0007131,BP,GO:0007131,reciprocal meiotic recombination,6/2567,13/6969,0.334065131,1,0.977374986,DMC1/EME1/MND1/MUS81/RMI1/TOP2A,6
GO:0007164,BP,GO:0007164,establishment of tissue polarity,6/2567,13/6969,0.334065131,1,0.977374986,DLG3/FZD3/MLLT3/NPHP1/PAFAH1B1/WNT11,6
GO:0007566,BP,GO:0007566,embryo implantation,6/2567,13/6969,0.334065131,1,0.977374986,A1CF/DDR1/EPO/GJA1/HMX3/ITGAV,6
GO:0008089,BP,GO:0008089,anterograde axonal transport,6/2567,13/6969,0.334065131,1,0.977374986,AGTPBP1/BLOC1S6/DTNBP1/RAB21/SNAPIN/SPAST,6
GO:0008206,BP,GO:0008206,bile acid metabolic process,6/2567,13/6969,0.334065131,1,0.977374986,CYP7A1/CYP8B1/FGFR4/HNF1A/SLC27A2/STAR,6
GO:0015732,BP,GO:0015732,prostaglandin transport,6/2567,13/6969,0.334065131,1,0.977374986,SLC22A2/SLC22A6/SLC22A7/SLCO3A1/TP53/TRPV4,6
GO:0042073,BP,GO:0042073,intraciliary transport,6/2567,13/6969,0.334065131,1,0.977374986,DYNC2I2/DYNC2LI1/IFT46/IFT52/IFT74/LCA5,6
GO:0042491,BP,GO:0042491,inner ear auditory receptor cell differentiation,6/2567,13/6969,0.334065131,1,0.977374986,BMP4/DLL1/MYO6/NHERF1/PAFAH1B1/RBPJ,6
GO:0043966,BP,GO:0043966,histone H3 acetylation,6/2567,13/6969,0.334065131,1,0.977374986,DR1/MAP3K7/MBIP/SMAD4/TAF9/ZZZ3,6
GO:0048806,BP,GO:0048806,genitalia development,6/2567,13/6969,0.334065131,1,0.977374986,AR/HNF1B/LGR4/LHX1/PTPN11/STRA6,6
GO:0055023,BP,GO:0055023,positive regulation of cardiac muscle tissue growth,6/2567,13/6969,0.334065131,1,0.977374986,BMPR1A/FGF9/FGFR2/GATA6/MAPK14/RBPJ,6
GO:0060045,BP,GO:0060045,positive regulation of cardiac muscle cell proliferation,6/2567,13/6969,0.334065131,1,0.977374986,BMPR1A/FGF9/FGFR2/GATA6/MAPK14/RBPJ,6
GO:0060337,BP,GO:0060337,type I interferon-mediated signaling pathway,6/2567,13/6969,0.334065131,1,0.977374986,CNOT7/IFNAR1/IRF7/LSM14A/STAT1/TRIM65,6
GO:0061512,BP,GO:0061512,protein localization to cilium,6/2567,13/6969,0.334065131,1,0.977374986,ARL6/BBIP1/CCDC39/CFAP58/SNX10/TMEM107,6
GO:0071985,BP,GO:0071985,multivesicular body sorting pathway,6/2567,13/6969,0.334065131,1,0.977374986,CHMP2B/CHMP4C/DENND10/RAB27A/VPS36/VPS4B,6
GO:0090303,BP,GO:0090303,positive regulation of wound healing,6/2567,13/6969,0.334065131,1,0.977374986,ADRA2A/ANXA1/ARFGEF1/MTOR/NFE2L2/THBS1,6
GO:0140527,BP,GO:0140527,reciprocal homologous recombination,6/2567,13/6969,0.334065131,1,0.977374986,DMC1/EME1/MND1/MUS81/RMI1/TOP2A,6
GO:1902745,BP,GO:1902745,positive regulation of lamellipodium organization,6/2567,13/6969,0.334065131,1,0.977374986,CARMIL1/ENPP2/MTOR/NCKAP1/PIK3R1/WNT1,6
GO:1903317,BP,GO:1903317,regulation of protein maturation,6/2567,13/6969,0.334065131,1,0.977374986,CCBE1/IFT52/RNF139/SERPINE1/SOX4/THBS1,6
GO:2000144,BP,GO:2000144,positive regulation of DNA-templated transcription initiation,6/2567,13/6969,0.334065131,1,0.977374986,BCLAF1/MDC1/MED1/MED14/MED4/TAF9,6
GO:0032880,BP,GO:0032880,regulation of protein localization,77/2567,200/6969,0.335050363,1,0.977374986,ABHD17B/ACTB/ADAM10/ADAM9/ADRA2A/APBB3/APPL1/AR/ARHGEF16/ATCAY/BICD1/BIRC5/BLK/BMP4/BNIP3L/CCT2/CENPQ/CEP120/CEP250/CTNNB1/ERP29/F2RL1/FFAR2/GCC2/GHRH/GHRL/GLIS2/GNL3/GOLPH3L/GOPC/GPER1/HDAC6/HNF4A/HSPA1L/IL6/INSIG1/ITGB1/LYPD1/MAPK14/MEAK7/MRAP2/MTOR/NDFIP2/NEDD9/OGT/OTUD7B/PDCD10/PDX1/PDZK1/PIK3R1/PRKAA2/PRKAR1A/PTPN11/RAB14/RAB9A/RANGRF/RAP1A/RDX/RHBDD3/RHOQ/RSAD2/SAR1B/SERP1/SIX4/SLC1A1/SLC5A3/SOX4/STX10/TAMALIN/TERF1/TGFB3/TMED10/TRIM8/TRPV4/TYROBP/UBXN2B/ZFAND1,77
GO:0016311,BP,GO:0016311,dephosphorylation,45/2567,115/6969,0.33584664,1,0.977374986,ACP6/CALM2/CALM3/CDC25B/CDC25C/CDKN3/DNAJC6/DUSP15/DUSP19/DUSP28/FRA10AC1/INPP5F/MTM1/MTMR1/MTMR2/MTMR4/MTMR7/MTMR8/NUAK1/PPM1A/PPP1CB/PPP1R35/PPP1R42/PPP2R2A/PPP4R3A/PPP4R3B/PPP6R2/PTP4A1/PTPDC1/PTPN11/PTPN13/PTPN21/PTPN4/PTPN6/PTPRB/PTPRK/RCAN1/ROCK1/SEMA4D/STYX/TAB1/THTPA/TIPRL/TMEM225B/UBLCP1,45
GO:0022008,BP,GO:0022008,neurogenesis,154/2567,406/6969,0.33640228,1,0.977374986,ACSL4/ADNP/ADRA2B/AGTPBP1/ANXA1/APP/ATAT1/ATCAY/AZU1/B3GNT2/B4GALT6/BARHL1/BCL6/BECN1/BEND6/BLOC1S6/BMP4/BMP5/BMPR1A/BMPR2/BTBD1/BTBD3/CAPRIN1/CASP3/CCR2/CEP120/CLN5/CNTN5/CRB2/CYB5D2/DCT/DCX/DDR1/DDX6/DLL1/DLX2/DMD/DPYSL2/DTNBP1/DUSP15/EDNRB/EFHD1/EFNA1/EFNA4/EFNB3/EPHB3/ETV6/EXT1/FGFR2/FLOT1/FMR1/FOXA1/FZD3/GHRL/GNAT1/GPER1/GPM6B/GPR173/GPR183/HAPLN2/HDAC6/HES2/HEXB/HMGB2/HOXA2/HOXD1/HOXD3/ID2/INHBA/INPP5F/ISLR2/KRAS/KREMEN1/LGI1/LHX1/LHX2/LIG4/LIN28A/LLPH/LRTM2/LSM1/MAP1B/MAPK6/MED1/MEGF9/MET/METTL14/MFRP/MIB1/MNX1/MTMR2/MTOR/MYO6/NAP1L1/NCKAP1/NCSTN/NEPRO/NFATC4/NFIB/NHERF1/NIF3L1/NR2E1/NR4A2/NRN1L/NRP1/NTN4/NTRK3/NYAP1/P2RY12/PAFAH1B1/PALS1/PAQR3/PDE6C/PLAA/POU3F2/PTPN11/RAB11A/RAB21/RAB3A/RAP1A/RBPJ/ROCK1/RTN4RL1/RUFY3/SEMA3E/SEMA4D/SEMA6A/SERPINF1/SHOX2/SIX4/SLC1A1/SLC45A3/SLITRK3/SMAD4/SMARCA1/SNAPIN/SOX10/SOX4/SPAST/SRCIN1/SUZ12/SYT3/TAOK1/TMEM106B/TPBG/UGDH/VXN/WDR62/WNT1/WNT11/WNT2B/WNT8B/ZC4H2/ZNF609,154
GO:0051052,BP,GO:0051052,regulation of DNA metabolic process,48/2567,123/6969,0.337203994,1,0.977374986,ACTB/ACTL6A/BAZ1A/BCL6/BMPR2/BRCC3/CCNA2/CCT2/CHDH/CHEK1/CIDEA/DFFA/E2F8/ENDOG/EREG/ESCO1/FGFR4/FOXM1/GMNN/GNL3/H1-0/HDAC10/HELQ/HMBOX1/HMGB2/HNRNPA1/ING3/INO80/KLHL15/KMT5B/NEK7/PARPBP/POT1/PPP1R10/PPP4R3B/PTGES3/RBBP6/RFC3/RFC4/SHLD2/STOX1/STPG4/TERF1/TFRC/TNKS2/TSPYL2/UIMC1/ZBTB38,48
GO:0015850,BP,GO:0015850,organic hydroxy compound transport,34/2567,86/6969,0.338108479,1,0.977374986,ABCG4/ACTB/APOE/APOM/CYP8B1/DTNBP1/GPM6B/GPS2/GRAMD1C/HNF1A/HTR1B/IL6/LIMA1/NMB/NUS1/PIP4K2A/PTPN11/RAB11A/RELCH/SLC10A1/SLC18A2/SLC18B1/SLC22A2/SLC44A2/SLC51A/SLC5A11/SLC5A3/SNCG/SOAT1/STARD4/SYT3/TNF/VPS4B/VPS53,34
GO:0030326,BP,GO:0030326,embryonic limb morphogenesis,13/2567,31/6969,0.338579309,1,0.977374986,BMP4/BMPR1A/BPNT2/FGF9/HNF1A/HOXA9/IFT52/MED1/OSR2/SALL1/SHOX2/SMAD4/TMEM107,13
GO:0035113,BP,GO:0035113,embryonic appendage morphogenesis,13/2567,31/6969,0.338579309,1,0.977374986,BMP4/BMPR1A/BPNT2/FGF9/HNF1A/HOXA9/IFT52/MED1/OSR2/SALL1/SHOX2/SMAD4/TMEM107,13
GO:0098659,BP,GO:0098659,inorganic cation import across plasma membrane,13/2567,31/6969,0.338579309,1,0.977374986,ATP1A1/ATP1A2/ATP4B/KCNJ13/KCNJ2/KCNJ4/SCNN1B/SCNN1G/SLC12A2/SLC12A9/SLC39A8/STEAP2/TRPV4,13
GO:0099587,BP,GO:0099587,inorganic ion import across plasma membrane,13/2567,31/6969,0.338579309,1,0.977374986,ATP1A1/ATP1A2/ATP4B/KCNJ13/KCNJ2/KCNJ4/SCNN1B/SCNN1G/SLC12A2/SLC12A9/SLC39A8/STEAP2/TRPV4,13
GO:0044706,BP,GO:0044706,multi-multicellular organism process,18/2567,44/6969,0.338656078,1,0.977374986,A1CF/ACSL4/AR/BMPR2/DDR1/EPO/EPOR/GHRL/GHSR/GJA1/HAVCR2/HEXB/HMX3/ITGAV/MED1/OXTR/PRDX3/UABP-2,18
GO:0048736,BP,GO:0048736,appendage development,18/2567,44/6969,0.338656078,1,0.977374986,BMP4/BMPR1A/BMPR2/BPNT2/EXT1/FGF9/FGFR2/HNF1A/HOXA9/IFT52/KDF1/KREMEN1/MED1/OSR2/SALL1/SHOX2/SMAD4/TMEM107,18
GO:0060173,BP,GO:0060173,limb development,18/2567,44/6969,0.338656078,1,0.977374986,BMP4/BMPR1A/BMPR2/BPNT2/EXT1/FGF9/FGFR2/HNF1A/HOXA9/IFT52/KDF1/KREMEN1/MED1/OSR2/SALL1/SHOX2/SMAD4/TMEM107,18
GO:1905475,BP,GO:1905475,regulation of protein localization to membrane,18/2567,44/6969,0.338656078,1,0.977374986,ACTB/ADAM10/APPL1/AR/ARHGEF16/GPER1/ITGB1/LYPD1/MRAP2/OGT/PDZK1/PIK3R1/RANGRF/RAP1A/RHOQ/SLC1A1/SLC5A3/TAMALIN,18
GO:0045089,BP,GO:0045089,positive regulation of innate immune response,37/2567,94/6969,0.340463091,1,0.977374986,AKIRIN2/APPL1/ATAT1/BPIFB1/DDX3X/DHX58/EREG/F2RL1/FFAR2/FLOT1/GPS2/HAVCR2/HSP90AA1/IL18RAP/IRF7/LACC1/LGR4/LRRC19/LSM14A/MATR3/MED1/NEK7/NLRC3/NLRX1/PJA2/PLSCR1/RAB11FIP2/RSAD2/STING1/TASL/TIFA/TLR1/TLR3/TLR6/TXK/TYROBP/ZCCHC3,37
GO:0010876,BP,GO:0010876,lipid localization,60/2567,155/6969,0.340540298,1,0.977374986,ABCD3/ABCG4/ANXA1/APOA5/APOE/APOM/ATG9A/ATG9B/C3/C4BPA/CIDEA/CROT/CYP8B1/FABP1/FFAR2/FITM1/GDF9/GPS2/GRAMD1B/GRAMD1C/HEXB/HNF1A/IL6/INHBA/LDAH/LIMA1/MTTP/NMB/NUS1/OSBPL10/OSBPL8/PIP4K2A/PLA2G3/PLA2G5/PLIN2/PLSCR1/PROCA1/PTPN11/RAB11A/RELCH/RPS6KB1/SAR1B/SLC10A1/SLC22A2/SLC22A6/SLC22A7/SLC27A1/SLC27A2/SLC51A/SLCO3A1/SOAT1/SQLE/STARD4/STRA6/THBS1/TNF/TP53/TRPV4/VPS4B/VPS53,60
GO:0045859,BP,GO:0045859,regulation of protein kinase activity,75/2567,195/6969,0.341802161,1,0.977374986,ADAM9/ADRA2A/ADRA2B/ANKRD54/APP/AREG/AZU1/BMP4/CAMK2N1/CASS4/CAV1/CBL/CCNB1/CCNB2/CCNF/CCNG1/CCNG2/CCNH/CCNI/CDC25B/CDK12/CDKN1B/CDKN2C/CDKN2D/DDX3X/DTNBP1/DUSP19/EPO/EREG/ERP29/FBN1/FCGR1A/FGF1/FGF18/GDF9/GSKIP/HHEX/HTR2B/IL6R/JAK2/KSR1/MAP3K12/MAP3K7/MAP4K2/MNAT1/MTOR/NEDD9/NHERF1/NR2F2/PAQR3/PDCD10/PKD2/PRKAR1A/PRKAR2A/PTPN6/RAP2C/RASSF2/RGS14/SLC1A1/SLC27A1/SMYD3/SOCS4/SOCS5/SPDYA/SPDYC/SPRY1/SRCIN1/STOX1/TCIM/TELO2/THBS1/TNFSF15/TRAF6/TRPV4/TSPYL2,75
GO:1903829,BP,GO:1903829,positive regulation of protein localization,40/2567,102/6969,0.342366681,1,0.977374986,ABHD17B/ADAM9/APBB3/ARHGEF16/BICD1/BLK/CCT2/CENPQ/CEP120/CEP250/F2RL1/FFAR2/GHRL/GLIS2/GNL3/GOLPH3L/GPER1/HSPA1L/ITGB1/MAPK14/MEAK7/NEDD9/PDCD10/PDX1/PDZK1/PIK3R1/PRKAA2/PRKAR1A/RANGRF/RDX/SAR1B/SERP1/SLC5A3/SOX4/TGFB3/TMED10/TRIM8/TRPV4/TYROBP/ZFAND1,40
GO:0009260,BP,GO:0009260,ribonucleotide biosynthetic process,29/2567,73/6969,0.344049641,1,0.977374986,ACACA/ACAT1/ACLY/ACSS2/ADK/ADSS2/AK1/AK3/AMPD3/ATIC/ATP5ME/ATP5PB/ATP6/ATP8/DLAT/ELOVL3/GUCY1A1/HPRT1/NME4/NME5/PANK1/PANK2/PANK3/PDHA1/PDHB/PDHX/PDK3/PPAT/PRTFDC1,29
GO:0043085,BP,GO:0043085,positive regulation of catalytic activity,112/2567,294/6969,0.344493629,1,0.977374986,ADAM9/ADAP2/ADRA2A/ADRA2B/APOE/ARAP2/ARAP3/AREG/ARHGAP29/ARHGEF16/ARL1/ARRDC3/ATP7A/AZU1/BMI1/CALCR/CALM2/CALM3/CASP9/CASS4/CAV2/CCDC125/CCL17/CCT2/CDC20/CDC25B/CHN2/COPS5/CTSK/DCP1B/DDX3X/EGLN3/EPM2AIP1/EPO/EREG/ERP29/EVI5L/F2RL1/FBN1/FCGR1A/FGF1/FGF18/FGFR4/FOXJ1/GDF9/GNA13/GPIHBP1/HIP1R/HMBOX1/HMGB2/HTR2B/IGF1R/IL6R/JAK2/MAP3K12/MAP3K7/MAP4K2/MAPK14/MET/MID1IP1/MNAT1/NCSTN/NEDD9/NEK7/NR4A2/NTRK3/NUS1/PDCD10/PKD2/PLA2G5/PLAA/PLSCR1/POT1/PTGES3/RAB11FIP2/RAB3GAP1/RAPGEFL1/RASGEF1A/RASGRP4/RASSF2/RFC3/RFC4/RGS14/RGS16/RIC1/ROCK1/RP2/SEMA4D/SENP1/SLC1A1/SLC27A1/SLC37A4/SLC5A3/SNX13/SOX7/SPDYA/SPDYC/SRCIN1/STAT1/STOX1/TBC1D15/TBC1D8B/TCIM/TELO2/THBS1/TNFSF15/TOPORS/TRAF6/TRPV4/TSC2/WNT11/ZC3H15,112
GO:0009410,BP,GO:0009410,response to xenobiotic stimulus,21/2567,52/6969,0.345107219,1,0.977374986,CBR1/CRYZ/CYP1A1/CYP1A2/CYP2U1/DPEP1/GATA6/GPR52/GSTA1/HNF4A/HTR2B/INHBA/NFATC2/NFE2L2/PRKAA2/RHBDD3/SCNN1B/SLC1A1/SULT1C3/SULT2A1/THBS1,21
GO:0032412,BP,GO:0032412,regulation of monoatomic ion transmembrane transporter activity,21/2567,52/6969,0.345107219,1,0.977374986,ADRA2A/AHCYL1/CACNB1/CACNG7/CALM2/CALM3/EPO/FXYD3/GOPC/HRC/KCNE3/KCNG1/KLHL24/NHERF1/PDZK1/PKD2/RANGRF/SCN3B/SUMO1/TMEM168/TRPV4,21
GO:0007015,BP,GO:0007015,actin filament organization,49/2567,126/6969,0.3461456,1,0.977374986,ACTA1/ADD3/ALMS1/AP1AR/ARFGEF1/CAPZA1/CAPZA2/CARMIL1/CDC42EP1/CFL2/DNAI3/DSTN/ESAM/F2RL1/GDPD2/GHRL/GHSR/HIP1R/KANK3/KPTN/LIMA1/MET/MTOR/MYO5C/MYO6/NCK1/NCKAP1/NRP1/PIK3R1/PLS3/POF1B/RASA1/RDX/RHOF/RHPN1/SPTAN1/SPTB/TACSTD2/TGFB3/TMOD2/TMOD3/TPM1/TPM4/TRPV4/TWF1/VIL1/WASL/WNT11/XIRP2,49
GO:0008015,BP,GO:0008015,blood circulation,49/2567,126/6969,0.3461456,1,0.977374986,ADORA1/ADRA1D/ADRA2A/ADRA2B/AR/ASB3/ATP2B1/BMPR2/CALM2/CALM3/COX1/COX2/DLL1/DRD1/EDNRA/EDNRB/ENPEP/EXT1/F2RL1/GATA6/GNA13/HRC/HTR1B/HTR2B/ID2/KCND3/KCNE3/KCNJ2/KCNK6/KLF2/MTOR/MYH7/NCALD/OXTR/RAMP2/RANGRF/RNLS/ROCK1/SCN3B/SCNN1B/SHOX2/SLC1A1/STAT1/TBX18/TMEM161B/TMEM38B/TPM1/TRPC1/TRPV4,49
GO:0016042,BP,GO:0016042,lipid catabolic process,49/2567,126/6969,0.3461456,1,0.977374986,ACADL/ACADM/ACAT1/ACOX1/ADRA2A/APOE/AUH/BDH2/CIDEA/CPT1A/CROT/CYP1A2/CYP24A1/CYP7A1/DDHD2/DECR2/DPEP1/ENPP2/GLYATL2/GPIHBP1/HCAR1/HEXB/HSD17B4/INPP5F/LIPA/LIPM/LPL/NAPEPLD/NEU2/NUDT7/OXCT1/PAFAH1B1/PCCB/PCK1/PEX2/PHYH/PLA2G5/PLA2G7/PLBD1/PLCB4/PLCH1/PLCH2/PLD1/PLIN1/PNPLA3/PNPLA6/RARRES2/SLC27A2/SMPD3,49
GO:0048812,BP,GO:0048812,neuron projection morphogenesis,55/2567,142/6969,0.347551704,1,0.977374986,APP/B3GNT2/B4GALT6/BMPR2/BTBD3/CAPRIN1/CNTN5/DCX/DDR1/DTNBP1/EFNA1/EFNA4/EFNB3/EPHB3/EXT1/FGFR2/FLOT1/FZD3/HDAC6/HOXA2/ISLR2/LGI1/LHX1/LHX2/LLPH/LRTM2/MAP1B/MEGF9/NCKAP1/NFATC4/NFIB/NR2E1/NR4A2/NRN1L/NRP1/NYAP1/PAFAH1B1/PLAA/POU3F2/PTPN11/RAB21/RAB3A/ROCK1/RUFY3/SEMA3E/SEMA4D/SEMA6A/SHOX2/SLITRK3/SMAD4/SPAST/SRCIN1/SYT3/TMEM106B/TPBG,55
