,ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0006096,BP,GO:0006096,glycolytic process,18/2934,28/6969,0.014727835,0.23905525,0.22154757,ALDOC/DDIT4/ENO3/ENO4/GAPDH/GCK/GPI/P2RX7/PGAM1/PGAM2/PGK1/PPP2CA/PSEN1/SLC4A1/TIGAR/TPI1/UCP2/ZBTB7A,18
GO:0048145,BP,GO:0048145,regulation of fibroblast proliferation,19/2934,30/6969,0.015321721,0.246674694,0.228608988,AQP1/BAX/BRK1/C1QL4/CD248/CDK4/ESR1/FBXO4/IFI30/LIF/MED31/MIF/MORC3/MYC/PDGFA/SPHK1/TGFB1/TP53INP1/TRIM32,19
GO:0006974,BP,GO:0006974,DNA damage response,140/2934,289/6969,0.015346984,0.246674694,0.228608988,ABL1/ACKR3/ACRBP/ACTR8/AEN/ALKBH7/APEX1/APEX2/APTX/BAG6/BAX/BBC3/BCL2L1/CDIP1/CDK3/CDK9/CEBPG/CETN2/CLU/CRY1/DCLRE1B/DCUN1D5/DDB1/DDIT4/DDX39B/DMAP1/E2F7/EPHA2/ERCC1/FAAP24/FBXO4/FEN1/FH/FIGNL1/FOXO1/GINS2/GRB2/GTF2H4/GTF2H5/IKBKG/INIP/MAD2L2/MCL1/MCM3/MDM2/MEN1/METTL3/MGMT/MIF/MORC2/MORF4L2/MPND/MSH6/MYC/NABP1/NABP2/NEIL2/NEIL3/NKX3-1/NSMCE4A/NTHL1/OTUB1/OTUB2/PARK7/PARP3/PHF1/PHKG1/PHLDA3/PIAS4/PLK3/PNKP/POGZ/POLD1/POLD2/POLD4/POLDIP2/POLG/POLH/POLL/POLM/POLR2I/PRPF19/PSEN1/PSMD10/RAD23A/RAD51/RAD51AP1/RAD52/RAD9A/RAD9B/REC8/REXO4/RFWD3/RMI2/RNF8/RPA1/RPA2/RPL26/RPS27L/RPS3/RUVBL2/SAMHD1/SESN2/SIRT1/SIRT4/SIRT7/SMYD2/SPATA18/SPINDOC/SPO11/SPRED1/SSRP1/SUSD6/SWSAP1/TAOK3/TEN1/TERF2/TERF2IP/TIGAR/TIPIN/TRAIP/TRIM32/TRIM39/TRIP13/TTC5/TWIST1/UBE2B/UBE2T/UBQLN4/UNG/VCP/VPS72/WRAP53/XPC/XRCC1/XRCC2/XRCC3/ZBTB7A/ZDHHC16/ZNF668,140
GO:0043491,BP,GO:0043491,phosphatidylinositol 3-kinase/protein kinase B signal transduction,35/2934,62/6969,0.015546581,0.24866983,0.230458007,CAV3/CCL2/CD40/CHI3L1/CSF2/DDIT3/EPHA2/F3/GDF15/HBEGF/HYAL2/INPP5K/LEMD2/MT3/NKX3-1/NTRK1/PDGFA/PEAR1/PHLDA3/PIK3CD/PIK3R5/PPP2CA/PPP2R1A/RACK1/RNF41/RPS6KB2/RRAS/RTN4/SESN2/SH2B3/SIRT1/SOX9/SPRY2/TGFB1/TYRO3,35
GO:0044843,BP,GO:0044843,cell cycle G1/S phase transition,33/2934,58/6969,0.015999297,0.253472551,0.234908991,ACVR1/AIF1/CCL2/CCND2/CCNE2/CDK2AP2/CDK4/CDKN2B/DCUN1D3/E2F4/E2F7/FBXO7/HYAL1/KLF11/MDM2/MYC/PHB2/PLK2/PLK3/PPP2CA/PPP6C/PSME1/PSME2/PSME3/RCC1/RFWD3/RGCC/RPL26/RPS27L/TBX2/TMSB4X/TRIM39/ZPR1,33
GO:0051235,BP,GO:0051235,maintenance of location,47/2934,87/6969,0.016000695,0.253472551,0.234908991,ABHD5/ABL1/ALKBH7/BAX/BBC3/BSCL2/CALM1/CAPN3/CASQ1/CCDC22/CHCHD10/CLIC2/CRY1/DDIT3/FITM2/FKBP1B/GBA1/GHITM/GP1BB/HAP1/HILPDA/KDELR1/KEAP1/LIME1/MORC3/MT3/NFKBIA/NFKBIB/NR5A1/NRROS/P2RX7/PARK7/PLIN3/PLN/PSEN1/PSMD10/PTK2B/SIRT1/SLC30A7/SRI/STAT5A/STAT5B/SUPT7L/TBCCD1/TMSB10/TMSB4X/XCR1,47
GO:0031398,BP,GO:0031398,positive regulation of protein ubiquitination,21/2934,34/6969,0.016173525,0.254984517,0.236310226,BCL10/CBLB/CRY1/DCUN1D3/DCUN1D5/FBXO4/FZR1/GABARAP/PHF23/PIN1/PRKN/PSMD10/RNF180/SMAD7/SPHK1/STUB1/TBC1D7/TICAM1/UBB/UBE2D1/WBP1L,21
GO:0015748,BP,GO:0015748,organophosphate ester transport,22/2934,36/6969,0.016456953,0.256094797,0.237339192,APOA1/APOA4/APOC3/ATP8B2/ATP9A/G6PC3/KCNN4/LRRC8A/LRRC8E/MFSD2A/P2RX7/PLSCR3/PLSCR4/PRELID1/SLC25A33/SLC25A5/SLC25A6/SLC44A4/SLC4A1/SLC66A2/TRPC5/XKR9,22
GO:0042326,BP,GO:0042326,negative regulation of phosphorylation,55/2934,104/6969,0.01650137,0.256094797,0.237339192,ABL1/ACP4/AKT1S1/BAX/BDKRB2/CAV3/CDKN2B/CRKL/DBNDD2/DMTN/DUSP10/DUSP6/DVL1/DYNLL1/EPHA1/EPM2A/FBXO7/GADD45B/GBA1/GNAQ/GRB10/HEXIM1/HYAL2/INPP5J/INPP5K/MEN1/NCK2/NF2/NIBAN1/PARK7/PKIA/PKIB/PKIG/PLPP3/PPP1R15B/PRKN/PRKRIP1/PSEN1/RACK1/RGS2/SH2B3/SIRT1/SLC8A3/SMAD7/SOCS1/SPRED1/SPRY2/SPRY3/TAF7/TERF2IP/TESK1/TGFB1/TNFAIP3/TRIM27/UCHL1,55
GO:0008361,BP,GO:0008361,regulation of cell size,28/2934,48/6969,0.016786558,0.256094797,0.237339192,ABL1/AKT1S1/AQP1/CAV3/CCDC51/CLNS1A/E2F4/KCNN4/LAMTOR5/LRRC8A/LRRC8E/MIOX/MT3/NTN1/P2RX7/RHOA/RND2/RTN4/RTN4R/SCT/SEMA3B/SEMA3G/SEMA4F/SEMA6C/SEMA6D/SIN3A/SRF/ZFYVE27,28
GO:0038061,BP,GO:0038061,non-canonical NF-kappaB signal transduction,24/2934,40/6969,0.016793772,0.256094797,0.237339192,ACTN4/AKIP1/CALR/CCN3/CD74/CHI3L1/COPS8/IFI35/LIME1/NFKBIA/NLRP3/PDCD4/PHB2/RHOA/RPS3/SPHK1/TERF2IP/TIRAP/TLR2/TLR4/TMSB4X/TNFSF14/TRAF2/TRIM44,24
GO:0009141,BP,GO:0009141,nucleoside triphosphate metabolic process,27/2934,46/6969,0.016855638,0.256094797,0.237339192,ANTKMT/ATP1B1/ATP5F1A/ATP5IF1/ATP5MC1/ATP5MC2/ATP5MC3/ATP5MG/ATP5PO/ATP6V1B2/CTPS1/CTPS2/DCTPP1/DUT/ITPA/NME1/NME2/NME3/NME6/NT5E/NUDT2/RHOA/SAMHD1/SIRT1/TGFB1/TMSB4X/UCK1,27
GO:0034101,BP,GO:0034101,erythrocyte homeostasis,27/2934,46/6969,0.016855638,0.256094797,0.237339192,ALAS2/ATP5IF1/BAP1/CEBPG/DMTN/GATA2/GPI/HMOX1/IKZF1/ISG15/KLF1/L3MBTL3/LYAR/P4HTM/RHEX/SH2B3/SLC1A5/SLC25A38/SLC25A5/SLC4A1/SRF/STAT3/STAT5A/STAT5B/TAL1/ZBTB7A/ZFP36,27
GO:0021543,BP,GO:0021543,pallium development,25/2934,42/6969,0.016865727,0.256094797,0.237339192,BAX/BBS1/CRKL/DLX1/DMRTA2/EFHC1/IGF2BP1/LMX1A/LRP8/MBOAT7/MDGA1/MFSD2A/NARS1/NF2/NSUN5/POMGNT1/PSEN1/RHOA/RTN4/SCT/SMO/SRF/TRA2B/TSKU/UQCRQ,25
GO:0030218,BP,GO:0030218,erythrocyte differentiation,25/2934,42/6969,0.016865727,0.256094797,0.237339192,ALAS2/ATP5IF1/BAP1/CEBPG/DMTN/GATA2/IKZF1/ISG15/KLF1/L3MBTL3/LYAR/P4HTM/RHEX/SH2B3/SLC1A5/SLC25A38/SLC25A5/SLC4A1/SRF/STAT3/STAT5A/STAT5B/TAL1/ZBTB7A/ZFP36,25
GO:0003009,BP,GO:0003009,skeletal muscle contraction,8/2934,10/6969,0.017405058,0.257173396,0.238338798,CASQ1/CAV3/SCN4A/SLC8A3/TNNC1/TNNI2/TNNT1/TNNT3,8
GO:0045815,BP,GO:0045815,transcription initiation-coupled chromatin remodeling,8/2934,10/6969,0.017405058,0.257173396,0.238338798,DPY30/MEN1/RBM14/SIRT7/SMARCB1/SPI1/TRMT112/VPS72,8
GO:0048147,BP,GO:0048147,negative regulation of fibroblast proliferation,8/2934,10/6969,0.017405058,0.257173396,0.238338798,BAX/C1QL4/FBXO4/IFI30/MED31/MORC3/TP53INP1/TRIM32,8
GO:0050856,BP,GO:0050856,regulation of T cell receptor signaling pathway,8/2934,10/6969,0.017405058,0.257173396,0.238338798,BCL10/CBLB/CCR7/DUSP3/IKBKG/KCNN4/PVRIG/RPS3,8
GO:0070670,BP,GO:0070670,response to interleukin-4,8/2934,10/6969,0.017405058,0.257173396,0.238338798,CDK4/CITED1/JAK3/KEAP1/NFIL3/RPL3/RPLP0/STAT6,8
GO:2000773,BP,GO:2000773,negative regulation of cellular senescence,8/2934,10/6969,0.017405058,0.257173396,0.238338798,ABL1/MAP3K3/MIF/PLK2/SIRT1/TBX2/TERF2/TWIST1,8
GO:1902105,BP,GO:1902105,regulation of leukocyte differentiation,42/2934,77/6969,0.018066551,0.265755737,0.246292594,ABL1/CASP8/CD101/CEBPB/CYP26B1/DUSP10/EVI2B/FADD/FBXO7/FES/GATA2/IL12B/IL23A/IRF1/KAT2A/KLF10/LIF/LRRC17/MMP14/MYC/PCID2/PIAS3/PRDM1/PRXL2A/RARA/RHOA/RNF41/RUNX1/SART1/SASH3/SLAMF8/SMAD7/SOCS1/SPI1/STAT5A/STAT5B/TAL1/TFE3/TGFB1/TMEM176B/TNFSF9/ZNF397,42
GO:0006643,BP,GO:0006643,membrane lipid metabolic process,41/2934,75/6969,0.018492357,0.270810296,0.250976973,A4GALT/ACER1/AGK/B4GALT5/BAX/CCN1/CERS2/CERS4/CYP4F22/DEGS1/DPM2/DPM3/GAL3ST2/GAL3ST4/GBA1/GM2A/KDSR/NEU1/NEU3/ORMDL2/ORMDL3/P2RX7/PGAP3/PIGC/PIGF/PIGL/PIGO/PIGQ/PIGT/PIGU/PLPP1/PLPP3/PSAP/SAMD8/SGMS2/SMPD2/SPHK1/SPTSSA/ST3GAL1/ST3GAL3/UGCG,41
GO:0045746,BP,GO:0045746,negative regulation of Notch signaling pathway,13/2934,19/6969,0.018588379,0.271011981,0.251163887,CDK3/DLK2/DLL4/DLX1/EGFL7/GATA2/HEY2/MMP14/NEURL1/NFKBIA/RITA1/TEN1/ZBTB7A,13
GO:0045017,BP,GO:0045017,glycerolipid biosynthetic process,40/2934,73/6969,0.018920682,0.274641613,0.254527695,ABHD5/ALOX15/ANG/AVIL/BPNT1/CDIPT/CDS2/CHKB/CISH/DGAT1/DGKA/DPM2/DPM3/FITM2/GPAT3/IP6K1/IP6K2/ITPKC/LPCAT3/MBOAT7/MFSD2A/PDGFA/PGAP3/PI4K2A/PI4KB/PIGC/PIGF/PIGL/PIGO/PIGQ/PIGT/PIGU/PIK3CD/PISD/PLSCR3/SIRT1/SOCS1/SOCS2/TAMM41/THRSP,40
GO:0009967,BP,GO:0009967,positive regulation of signal transduction,186/2934,394/6969,0.019947324,0.284731059,0.263878222,ABL1/ACKR3/ACRBP/ACTN4/ACVR2B/ADRA1B/ALOX15/ARHGEF2/ATF3/AVPI1/BAX/BBC3/BCAP31/BCL10/BID/CALR/CAMK2A/CASP8/CCDC22/CCL1/CCL2/CCL25/CCL4/CCL5/CCL8/CCN1/CCN3/CCR7/CD4/CD40/CD63/CD74/CDKN2B/CFLAR/CHI3L1/CLU/CRKL/CSNK1E/CTH/CTSC/CTSH/CTSV/DDIT3/DHH/DLL4/DMTN/DOK5/DSTYK/ESM1/F3/FADD/FFAR4/FGF19/FYN/G0S2/GADD45B/GAPDH/GDF15/GPR17/GPR18/GPR20/GPR37/GRB10/HAP1/HBEGF/HEXIM1/HMOX1/HYAL2/IFI35/IGFBP6/IKBKB/IKBKG/IL10RA/IL12B/IL23A/ING2/JAG1/KCNN4/LAMTOR1/LAMTOR2/LAMTOR5/LIF/LMCD1/LPAR2/LTBR/LY96/MAP2K7/MAP3K3/MAPK8IP1/MCL1/MEN1/MIF/MOS/MT3/MTURN/MYD88/NCK2/NEU3/NKX3-1/NLE1/NTRK1/P2RX7/PARK7/PCID2/PDCD4/PDGFA/PHB2/PIAS4/PIK3CD/PIK3R5/PIN1/PIP4P1/PPP1CA/PPP2CA/PRKN/PSEN1/PTH/PTK2B/RAB34/RACK1/RAD9A/RALB/RAP1B/RELL2/RHOA/RIPK1/RIPK3/RPL11/RPL26/RPS12/RPS3/RRAGA/RTN4/RTN4R/S100A12/S100A4/S100A8/SCIMP/SEMA4C/SESN2/SHC1/SIRT1/SLC15A3/SLC15A4/SMARCB1/SMO/SOCS1/SOD1/SPHK1/SPRED1/SPRING1/SPRY2/STAMBPL1/STAT3/STK19/TAOK3/TEDC2/TERF2IP/TGFA/TGFB1/TICAM1/TIMP3/TIRAP/TLR2/TLR4/TMEM106A/TNFAIP3/TNFRSF19/TNFSF14/TNIP2/TRAF2/TRAF3/TRIM32/TRIM39/TRIM44/TRIM62/TSPAN5/UBB/UBE2B/ULK3/VDR/VEGFA/WNT7A/XRCC3/ZBP1/ZDHHC5,186
GO:0019083,BP,GO:0019083,viral transcription,14/2934,21/6969,0.020134245,0.284731059,0.263878222,CDK9/GTF2B/HEXIM1/HMOX1/INPP5K/MON1B/SMARCB1/SP1/TAF11/TARBP2/TRIM27/TRIM32/TRIM62/ZFP36,14
GO:0043038,BP,GO:0043038,amino acid activation,14/2934,21/6969,0.020134245,0.284731059,0.263878222,EARS2/FARSA/GARS1/GATC/HARS1/HARS2/KARS1/NARS1/PARS2/QRSL1/TARS2/VARS1/WARS1/YARS1,14
GO:0043039,BP,GO:0043039,tRNA aminoacylation,14/2934,21/6969,0.020134245,0.284731059,0.263878222,EARS2/FARSA/GARS1/GATC/HARS1/HARS2/KARS1/NARS1/PARS2/QRSL1/TARS2/VARS1/WARS1/YARS1,14
GO:0061077,BP,GO:0061077,chaperone-mediated protein folding,14/2934,21/6969,0.020134245,0.284731059,0.263878222,CCT4/CLU/DNAJB1/DNAJB12/DNAJB2/FKBP11/FKBP2/HSPA6/HSPB1/HSPB6/PDCL3/PEX19/SDF2/TOR1A,14
GO:1900182,BP,GO:1900182,positive regulation of protein localization to nucleus,14/2934,21/6969,0.020134245,0.284731059,0.263878222,DMAP1/FYN/HYAL2/LAMTOR5/LIF/LIMK2/ORMDL3/PARK7/PSEN1/SESN2/SMO/TESK1/TGFB1/ZPR1,14
GO:0009895,BP,GO:0009895,negative regulation of catabolic process,47/2934,88/6969,0.020573383,0.289697852,0.268481261,APOC3/AZIN1/BAG6/CHMP4A/CST3/DAP/DDIT4/DDRGK1/ELAVL1/FMC1/FURIN/FYN/IGF2BP1/IL10RA/LEPR/MAD2L2/MCL1/MFSD2A/NAF1/NOS2/PARK7/PDCL3/PHF23/PIN1/POLDIP2/PPP2CA/PSEN1/RBM38/RGP1/RNF41/RNF5/RPL11/RRAGA/SLC4A1/STK38L/SVIP/TIGAR/TIMP1/TIMP3/TIRAP/TMEM39A/TRAF2/TRIM27/TRIM39/UBQLN4/ZDHHC7/ZFP36,47
GO:0071347,BP,GO:0071347,cellular response to interleukin-1,15/2934,23/6969,0.021386463,0.299612149,0.277669465,CCL1/CCL2/CCL25/CCL4/CCL5/CCL8/CD40/CXCL8/HYAL1/HYAL2/IKBKB/MAP2K7/NKX3-1/RPS6KA4/SOX9,15
GO:0001701,BP,GO:0001701,in utero embryonic development,61/2934,118/6969,0.021459322,0.299612149,0.277669465,ACVR1/ADM/AKAP3/BAP1/BRK1/CCN1/CEBPB/CHTOP/CITED1/CSF2/DAD1/E2F7/FOSL1/FURIN/GATA2/GINS1/GPI/GRB2/HEY2/JUNB/KAT2A/KEAP1/KIFBP/KRT8/LIF/MAFF/MED21/NLE1/NOG/PHLDA2/PLCD3/PNLDC1/PRDM1/PRKCSH/PSPH/RCN1/RPL7L1/RTN4/SCO2/SEC24C/SF3B6/SIN3A/SLC25A20/SLC30A1/SLC39A1/SMARCB1/SMO/SPINT2/SRF/ST14/TERF2/TWIST1/UBE2B/UNK/VASH1/WDR74/XRCC2/YBX3/ZFAND5/ZFP14/ZPR1,61
GO:1902532,BP,GO:1902532,negative regulation of intracellular signal transduction,79/2934,157/6969,0.02178169,0.299812398,0.277855049,ABL1/ACKR3/AKT1S1/ARHGAP25/ATF3/BCL2L1/BDKRB2/C1QL4/CASP8/CAV3/CCDC22/CCN3/CLU/DDIT3/DDIT4/DDX39B/DUSP10/DUSP26/DUSP3/DUSP4/DUSP5/DUSP6/EPHA2/ESR1/FIGNL1/GBA1/HOMER2/HYAL2/IFI35/INPP5K/ITFG2/LEMD2/LIF/LZTR1/MAD2L1BP/MAPK8IP1/MDM2/MEN1/MIF/MYC/MYOZ2/NF2/NLRP3/NPC1/P2RX7/PARK7/PDE2A/PHLDA3/PIN1/PPP2CA/PPP2R1A/PRKN/PSMD10/RACK1/RASA3/RGS2/RHOA/SELENOS/SESN2/SH2B3/SIRT1/SPRED1/SPRY2/SPRY3/SYNGAP1/TAOK3/TBC1D7/TIMP3/TLE1/TLR4/TMSB4X/TNFAIP1/TNFAIP3/TRIM32/TRIM39/TWIST1/UBE2B/UCHL1/YBX3,79
GO:0009147,BP,GO:0009147,pyrimidine nucleoside triphosphate metabolic process,9/2934,12/6969,0.022065647,0.299812398,0.277855049,CTPS1/CTPS2/DCTPP1/DUT/NME1/NME2/NME3/NME6/UCK1,9
GO:0009218,BP,GO:0009218,pyrimidine ribonucleotide metabolic process,9/2934,12/6969,0.022065647,0.299812398,0.277855049,CTPS1/CTPS2/DPYS/NME1/NME2/NME3/NME6/NT5C/UCK1,9
GO:0033137,BP,GO:0033137,negative regulation of peptidyl-serine phosphorylation,9/2934,12/6969,0.022065647,0.299812398,0.277855049,BAX/BDKRB2/DMTN/EPM2A/INPP5J/INPP5K/NCK2/RACK1/SMAD7,9
GO:0033617,BP,GO:0033617,mitochondrial cytochrome c oxidase assembly,9/2934,12/6969,0.022065647,0.299812398,0.277855049,BCS1L/COA4/COX16/COX17/COX18/COX19/SCO1/SCO2/TIMM21,9
GO:0090207,BP,GO:0090207,regulation of triglyceride metabolic process,9/2934,12/6969,0.022065647,0.299812398,0.277855049,ABHD5/APOA4/APOC3/FITM2/MBOAT7/MFSD2A/PNPLA2/SIRT1/THRSP,9
GO:0015931,BP,GO:0015931,nucleobase-containing compound transport,32/2934,57/6969,0.022283555,0.299812398,0.277855049,CHTOP/DDX39B/EIF4A3/ENY2/GLE1/IGF2BP1/KIF5C/LRRC8A/LRRC8E/MRPL18/NCBP3/NOL6/NUP153/NUP93/NUTF2/NXT1/P2RX7/PABPN1/PCID2/RAE1/RBM15B/RBM8A/SF1/SIDT2/SLBP/SLC25A33/SLC25A5/SLC25A6/SLC28A2/SNUPN/THOC3/ZFP36,32
GO:0001843,BP,GO:0001843,neural tube closure,16/2934,25/6969,0.022383566,0.299812398,0.277855049,ABL1/ADM/BCL10/BRD2/DVL1/FUZ/KAT2A/MTHFR/NOG/RARA/SEMA4C/SPINT2/ST14/TGFB1/TULP3/TWIST1,16
GO:0010833,BP,GO:0010833,telomere maintenance via telomere lengthening,16/2934,25/6969,0.022383566,0.299812398,0.277855049,CCT4/CDK3/DCLRE1B/FBXO4/GAR1/MAP2K7/NAF1/NAT10/NOP10/RAD51/RPA1/TEN1/TERF2/TERF2IP/TINF2/WRAP53,16
GO:0060606,BP,GO:0060606,tube closure,16/2934,25/6969,0.022383566,0.299812398,0.277855049,ABL1/ADM/BCL10/BRD2/DVL1/FUZ/KAT2A/MTHFR/NOG/RARA/SEMA4C/SPINT2/ST14/TGFB1/TULP3/TWIST1,16
GO:0010647,BP,GO:0010647,positive regulation of cell communication,208/2934,445/6969,0.023076776,0.300332336,0.278336908,ABL1/ACKR3/ACRBP/ACTN4/ACVR2B/ADRA1B/AKAP5/ALOX15/ARHGEF2/ATF3/AVPI1/BAX/BBC3/BCAP31/BCL10/BID/C2CD2L/CALR/CAMK2A/CASP8/CCDC22/CCL1/CCL2/CCL25/CCL4/CCL5/CCL8/CCN1/CCN3/CCR7/CD4/CD40/CD63/CD74/CDKN2B/CFLAR/CHI3L1/CLU/CRH/CRKL/CSNK1E/CTH/CTSC/CTSH/CTSV/DDIT3/DHH/DLL4/DMTN/DOK5/DSTYK/ESM1/F3/FADD/FFAR4/FGF19/FURIN/FYN/G0S2/GADD45B/GAL/GAPDH/GBA1/GDF15/GFAP/GPR17/GPR18/GPR20/GPR37/GRB10/HAP1/HBEGF/HCRT/HEXIM1/HMOX1/HYAL2/IFI35/IGFBP6/IKBKB/IKBKG/IL10RA/IL12B/IL23A/ING2/INHBB/ITPR3/JAG1/KCNN4/LAMTOR1/LAMTOR2/LAMTOR5/LIF/LMCD1/LPAR2/LRRC8A/LTBR/LY96/MAP2K7/MAP3K3/MAPK8IP1/MCL1/MEN1/MIF/MOS/MPC2/MT3/MTURN/MYD88/NCK2/NEU3/NKX3-1/NLE1/NOG/NTRK1/P2RX7/PAIP2/PARK7/PCID2/PDCD4/PDGFA/PHB2/PIAS4/PIK3CD/PIK3R5/PIN1/PIP4P1/PPP1CA/PPP2CA/PRKN/PSEN1/PTH/PTK2B/RAB34/RACK1/RAD9A/RALB/RAP1B/RELL2/RHOA/RIPK1/RIPK3/RPL11/RPL26/RPS12/RPS3/RRAGA/RTN4/RTN4R/S100A12/S100A4/S100A8/SCIMP/SCT/SEMA4C/SESN2/SHC1/SIRT1/SLC15A3/SLC15A4/SLC8A3/SMARCB1/SMO/SOCS1/SOD1/SPHK1/SPP1/SPRED1/SPRING1/SPRY2/SQSTM1/SRI/STAMBPL1/STAT3/STK19/SYT12/TAOK3/TEDC2/TERF2IP/TGFA/TGFB1/TICAM1/TIMP3/TIRAP/TLR2/TLR4/TMEM106A/TNFAIP3/TNFRSF19/TNFSF14/TNIP2/TRAF2/TRAF3/TRH/TRIM32/TRIM39/TRIM44/TRIM62/TSPAN5/UBB/UBE2B/ULK3/VAMP8/VDR/VEGFA/WNT7A/XRCC3/ZBP1/ZDHHC5,208
GO:0014020,BP,GO:0014020,primary neural tube formation,17/2934,27/6969,0.023160652,0.300332336,0.278336908,ABL1/ADM/BCL10/BRD2/DVL1/FUZ/KAT2A/LUZP1/MTHFR/NOG/RARA/SEMA4C/SPINT2/ST14/TGFB1/TULP3/TWIST1,17
GO:0051341,BP,GO:0051341,regulation of oxidoreductase activity,17/2934,27/6969,0.023160652,0.300332336,0.278336908,ABL1/CAV3/COX17/EDN1/ESR1/FDX1/IL1A/MT3/PARK7/PHB2/PRKN/PTK2B/RIPK3/SIRT4/SLC4A1/TERF2/VDR,17
GO:0070555,BP,GO:0070555,response to interleukin-1,17/2934,27/6969,0.023160652,0.300332336,0.278336908,CCL1/CCL2/CCL25/CCL4/CCL5/CCL8/CD40/CHI3L1/CITED1/CXCL8/HYAL1/HYAL2/IKBKB/MAP2K7/NKX3-1/RPS6KA4/SOX9,17
GO:0070371,BP,GO:0070371,ERK1 and ERK2 cascade,51/2934,97/6969,0.023276644,0.300332336,0.278336908,ABL1/ACKR3/ALOX15/ARHGEF2/ATF3/C1QL4/CCL1/CCL2/CCL25/CCL4/CCL5/CCL8/CCN1/CD4/CHI3L1/CRKL/CSF2/CTSH/DSTYK/DUSP10/DUSP26/DUSP3/DUSP4/DUSP6/EPHA2/FFAR4/FGF19/GRB10/LIF/MAP2K2/MAP2K7/MIF/MOS/MT3/MTURN/NTRK1/PDGFA/PHB2/PIN1/PTK2B/RAP1B/RRAS/SCIMP/SHC1/SOX9/SPRED1/SPRY2/TGFB1/TIMP3/TIRAP/TLR4,51
GO:0042157,BP,GO:0042157,lipoprotein metabolic process,29/2934,51/6969,0.023378325,0.300332336,0.278336908,ABHD17A/APOA1/APOA4/APOC3/ATG10/ATG13/DPM2/DPM3/GBA1/LIPG/LYPLA2/OLR1/PGAP3/PIGC/PIGF/PIGL/PIGO/PIGQ/PIGT/PIGU/SELENOK/SVIP/UGCG/WDR45/ZDHHC16/ZDHHC23/ZDHHC5/ZDHHC7/ZDHHC9,29
GO:1901875,BP,GO:1901875,positive regulation of post-translational protein modification,28/2934,49/6969,0.023697139,0.300332336,0.278336908,BCL10/CBLB/CRY1/DCUN1D3/DCUN1D4/DCUN1D5/FBXO4/FZR1/GABARAP/ING2/KANSL2/PHF23/PIAS3/PIAS4/PIN1/PRKN/PSMD10/RNF180/SIRT1/SMAD7/SPHK1/STUB1/TBC1D7/TGFB1/TICAM1/UBB/UBE2D1/WBP1L,28
GO:0008637,BP,GO:0008637,apoptotic mitochondrial changes,18/2934,29/6969,0.023748787,0.300332336,0.278336908,ATP5IF1/BAX/BBC3/BID/CHCHD10/FAM162A/GHITM/MCL1/MLLT11/PLSCR3/PRKN/PSMD10/RHOT2/SLC25A5/SLC25A6/SLC35F6/TMEM14A/VDAC2,18
GO:0009201,BP,GO:0009201,ribonucleoside triphosphate biosynthetic process,18/2934,29/6969,0.023748787,0.300332336,0.278336908,ANTKMT/ATP5F1A/ATP5MC1/ATP5MC2/ATP5MC3/ATP5MG/ATP5PO/CTPS1/CTPS2/NME1/NME2/NME3/NME6/NUDT2/SIRT1/TGFB1/TMSB4X/UCK1,18
GO:0043534,BP,GO:0043534,blood vessel endothelial cell migration,18/2934,29/6969,0.023748787,0.300332336,0.278336908,ABL1/CD40/DLL4/EPHA2/GATA2/MAP3K3/PLK2/RGCC/RHOA/SIRT1/SP1/SPRED1/SRF/SRPX2/TGFB1/TMSB4X/VASH1/VEGFA,18
GO:0048024,BP,GO:0048024,"regulation of mRNA splicing, via spliceosome",18/2934,29/6969,0.023748787,0.300332336,0.278336908,CELF3/EIF4A3/MAGOH/MYOD1/NOVA2/PRDX6/PTBP1/RBM15B/RBM3/RBM38/RBM42/RBM8A/SF3B4/SRSF2/SRSF6/SRSF7/TRA2B/ZBTB7A,18
GO:0060491,BP,GO:0060491,regulation of cell projection assembly,27/2934,47/6969,0.023984635,0.300332336,0.278336908,ARF6/ARPC2/AVIL/BRK1/CAPZB/CDC42/CDC42EP2/CDC42EP3/CDC42EP4/DMTN/EPHA2/FSCN1/FUZ/GDI2/HAP1/IFT20/LIMK2/NEURL1/P2RX7/PALM/PLEK2/RAC2/SRF/TBC1D7/TESK1/WASF2/WRAP73,27
GO:0120032,BP,GO:0120032,regulation of plasma membrane bounded cell projection assembly,27/2934,47/6969,0.023984635,0.300332336,0.278336908,ARF6/ARPC2/AVIL/BRK1/CAPZB/CDC42/CDC42EP2/CDC42EP3/CDC42EP4/DMTN/EPHA2/FSCN1/FUZ/GDI2/HAP1/IFT20/LIMK2/NEURL1/P2RX7/PALM/PLEK2/RAC2/SRF/TBC1D7/TESK1/WASF2/WRAP73,27
GO:0032388,BP,GO:0032388,positive regulation of intracellular transport,19/2934,31/6969,0.024175059,0.300332336,0.278336908,AKAP5/BBC3/BCAP31/DMAP1/EHD2/EIPR1/FYN/HYAL2/MSN/OAZ3/PLK3/PPARG/PSEN1/SAR1A/SMO/TBC1D20/TGFB1/TOMM7/ZPR1,19
